Subj,CRS,Title,Cmp,Sctn,Days,Start Time,End Time,Mtg Start Date,Mtg End Date,Duration,Instruction Mode,Building,Room,Instr,Enrl Cap,Wait Cap,Cmbnd Descr,Cmbnd Enrl Cap
CSE,526,Principles of Programming Languages,LEC,1,MF,1:00 PM,2:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Yanhong Liu,100,10, , 
CSE,527,Introduction to Computer Vision,LEC,1,MW,7:00 PM,8:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Haibin Ling,120,0, , 
CSE,532,Theory of Database Systems,LEC,1,TUTH,5:30 PM,6:50 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Michael Kifer,150,34, , 
CSE,540,Theory of Computation,LEC,1,TUTH,2:30 PM,3:50 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Omkant Pandey,150,0, , 
CSE,541,Logic in Computer Science,LEC,1,TUTH,4:00 PM,5:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Anita Wasilewska,120,15, , 
CSE,544,Prob/Stat for Data Scientists,LEC,1,TUTH,1:00 PM,2:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Anshul Gandhi,100,0, , 
CSE,545,Big Data Analytics,LEC,1,TUTH,11:30 AM,12:50 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Hansen Schwartz,150,28, , 
CSE,548,Analysis of Algorithms,LEC,1,MW,4:00 PM,5:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Rezaul Chowdhury,180,0,CSE548.01/AMS542.01,180
CSE,550,Quantum Computing and Applications,SEM,S01,TU,10:31 AM,11:30 AM,25-Jan-21,19-May-21,59,In Person,TBA,120,Predrag Krstic,20,0,DCS501.R01/ESE523.R01/CSE550.S,20
CSE,550,Quantum Computing and Applications Recitation,LEC,1,TU,9:30 AM,10:30 AM,25-Jan-21,19-May-21,60,In Person,TBA,120,Predrag Krstic,20,0,DCS501.01/ESE523.01/CSE550.01,20
CSE,555,Computational Geometry,LEC,1,TUTH,10:00 AM,11:20 AM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Joseph Mitchell,60,0,AMS545.01/CSE555.01,60
CSE,564,Visualization,LEC,1,TUTH,7:00 PM,8:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Klaus Mueller,250,6, , 
CSE,566,Virtual Reality,LEC,1,W,2:30 PM,5:20 PM,25-Jan-21,19-May-21,170,In Person,TBA,220,Arie Kaufman,30,0, , 
CSE,600,Seminar in Computer Science,SEM,S01,F,2:30 PM,3:30 PM,25-Jan-21,19-May-21,60,In Person,TBA,120,Samir Das,80,10, , 
CSE,645,Seminar in Languages,SEM,S01,TH,11:30 AM,12:50 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Paul Fodor; Michael Kifer; C Ramakrishnan; Yanhong Liu,30,0, , 
